"Key","Value"
"96ac5925-b629-4eb6-9037-fb9d62f7db0c","ELS PER ORGANISATION_LogistikKDLager RW"
"920c989e-316e-44d3-8196-bf846dce501a","ELS PER TECHNIK_Labor_36Praktika R"
"8e320c40-0547-4119-8bf7-ec27ad81fc4b","ELS PER TECHNIK_EntwicklungStahlbau RW"
"3981ab05-dba7-4615-a60c-8485a5922d1a","ELS PER ORGANISATION_Dokumentation_Dokumentenstamm RW"
"17e26225-1fe1-4e90-b2ed-90a9f64a6aff","ENS PER DEPT_Management L"
"b7ef7703-2ac6-4371-8640-195459742b0a","ELS SP_Abteilungs-Seiten_Finanzen R"
"3d17625c-2bf2-4949-8ca2-a1a7490a133e","ENS Department Project Management"
"b0e8fd52-3fc4-4fac-9ea6-b08ea4f434ee","ELS PER ORGANISATION_HHPBoard_040MBR R"
"82a0d629-5064-4836-9667-0abb16911938","ELS PER VERKAUF_019_Vertriebsplanung RW"
"a2ccb870-5be2-4585-ad65-477872514661","ELS PER TECHNIK_Productline_01Marine RW"
"50c0b712-ec6f-4f2e-a72c-9fbb02223f10","ELS PER ORGANISATION_Lehrlingsausbildung R"
"07180f32-c779-426b-a74c-d6657c7f733f","ELS SP_Abteilungs-Seiten_Einkauf RW"
"d66dd0be-d703-4c1a-a726-522ce7b8d783","ELS PER TECHNIK_Elektro_Konzepte RW"
"55c7bced-e913-47ad-a63f-fd1b54885826","ELS Apprentice Work Preparation & Warehouse"
"c615c092-c660-46cc-b688-223d19995c27","ELS PER TECHNIK_CAD_12_BTC R"
"9ccf5e41-aab5-47ae-9055-dcd7ff846f10","ELS PER TECHNIK_Elektro_Standard RW"
"53c06b55-0503-4d60-871e-ecc2c91287d0","ELS PER ORGANISATION_Management_010BSC-KPI RW"
"aab95a59-fb4d-4588-b1f4-ef66d223ae67","ELS PER ELSSVABACUS1 AbaScan R"
"8f3bb33f-7d58-44a4-ad97-613af6b184c5","ELS Department Produktbereich stationaer"
"2bbe9ca2-f12a-48bf-91d9-34dd5df13e68","ELS DepartmentHead Customer Support & Logistics"
"0827a868-ea55-4fc4-9d9a-4716b2de0c9a","ELS PER TECHNIK_RnD_Conferences RW"
"6e47d977-3152-44a9-82a7-e38dcca90954","ELS PER ORGANISATION_Personal_Controlling R"
"7b9b4b9b-b195-4601-8789-ee55d8210ad4","SRMW_Intune_Win_User_Shared-NLENS"
"d0a98381-3732-41b9-94bb-2706a894138d","ELS PER ORGANISATION_Finanzen_Auftr?ge RW"
"89acfb1f-d5f3-48a9-8962-2610b2f4ae07","ELS SP_ICBP R"
"7a317684-2c7e-496b-b831-7129ee47aaff","ELS PER TECHNIK_RnD_Corona R"
"73d0fdc4-1c94-4ebe-9613-b0ae00ac3847","ELS PER TECHNIK_TechnBerechnungen_13_LAYOUT_FILTER_EPU R"
"757623f1-b578-4855-8b27-bee8eb19c204","ELS Department Backoffice"
"46147176-a041-4090-a39f-25921abf324b","ELS PER ORGANISATION_Management R"
"8bce26ce-9bfd-4b19-918f-e28387b148a4","ELS PER TRAINING_6_HSE R"
"68564ce9-92ac-465e-987d-159078f1151e","ELS Function Delegate to CTO"
"f131faf4-ea1a-4e7e-8088-cb50a6aec210","SRMW_Intune_Win_Devices_CHELS"
"79a1537d-ead0-4f2c-80f5-2c190d4d88ca","ELS PER ORGANISATION_Service_TrainingCenter R"
"44985f9a-f2b6-4efe-a15b-449dda8cd407","ELS PER TECHNIK_Elektro_BTC RW"
"68624309-97d6-4889-aa56-ed24190006d5","ELS PER ORGANISATION_Finanzen L"
"70f5a540-61b2-4cd5-b426-cbf7a514dcf2","ENS PER DEPT_Management_Strategisch RW"
"42218332-fcdb-4710-b021-f48d347f5015","ELS PER TECHNIK_CAD_07_Plott_Zeichnungen_IMSC R"
"954c5597-aea6-4fef-98b7-91f8372c81de","ELS SP_Produkthandbuch_Arichiv R"
"e00adfdb-e653-4712-9e9e-e62f465f5240","ELS PER ORGANISATION_Personal_HEIT RW"
"abd4e84a-3b5f-41d5-af1f-809a497de57f","ELS Function HLT"
"21b82434-1257-433c-9318-4ef0d2d3138a","ELS APP Abacus_Users"
"b10bc4e5-855f-4191-bbab-28649ea32390","ELS PER ORGANISATION_Abteilungsleiter RW"
"22dd862f-dd90-450f-be2a-8413f410cb4e","ELS Function Delegate to VP Finance"
"98f85be4-25f5-4300-975d-27aaee598598","ELS OLD KVP"
"8ad5ef12-1291-4f6d-a9ee-8260f22f29ba","ELS PER TECHNIK_Labor_31Audits RW"
"be0d06a2-3ea0-4adf-a4a7-541d5fa4dafc","ENS Function External IT Support"
"99bb1f07-a25a-4487-966f-4eceed9e1097","MAB Function External IT Support"
"1142f60d-6c40-4c7c-b628-a5e45200aca9","ELS Department Procurement"
"d2a2a774-7e90-4a08-a432-8edd1176f86d","ELS PER ORGANISATION_Einkauf_01Procurement Management RW"
"4cc73dc7-f2d6-4b4a-a52f-6dd7a800075c","ELS SP_Abteilungs-Seiten_Qualit?t RW"
"4b5543de-0624-414f-96a4-4975086fbcab","ELS PER ORGANISATION_Einkauf_03SupplierManagement R"
"c2ff1cd7-bfb8-4d6a-85aa-1634612854bb","ELS DepartmentHead Apparatus Production"
"f74bc89e-0d5d-433a-b80c-bb928f5b73af","ELS PER TRAINING_2_HHP_Fundamentals R"
"66cd6e59-8cf7-40ed-96cb-5489a1da32ff","gpo - ITTRT Users Printers DENY"
"d7155644-d7d4-49ab-9011-dab32ada0031","ELS OLD CSS"
"6a5b55ae-7af6-41b1-9f20-834dd7f356e4","ELS PER TECHNIK_CAD_14_MCxx R"
"c9eb2caf-f56c-4c1a-b392-a3db09c05752","ELS Apprentice Procurement"
"67e2fa6f-9622-46a3-a971-8b64871e3c4d","ELS PER ORGANISATION_Personal_Controlling RW"
"dd76100c-78f5-4c80-9ec4-268d25f7f1d4","ELS PER ORGANISATION_Service L"
"8e33eb35-7a15-4346-a288-3505a1f0d12e","ELS PER ORGANISATION_Management_020Global RW"
"306b34f1-b80b-495a-906f-7793411d7f71","ELS PER TECHNIK_TechnBerechnungen L"
"2aef3d6d-6114-4d06-aca5-d2d60f0ca84a","BFA Function Controlling HEUS"
"8a4ea923-d0c5-4221-91f9-d8d64b50f827","ELS Function CEO"
"c08c34b4-e6cf-4476-9e04-179785b972cc","ENS Function Director Sales"
"dc7b7120-ac4f-4e90-b07c-b7aa82b9ee89","ELS Function Closing HECN"
"24aa1506-8be7-49cf-9acc-22744d5f0430","ELS PER ORGANISATION_Management_020Global R"
"9677e338-bf8e-4684-b332-b8ca7b703059","ELS Old Domain Users"
"6d1596b5-fb88-4d78-8c4c-e8615072b7ef","ELS PER ORGANISATION_Qualit?tsundUmwelt_Gefahrenstoff RW"
"52e6493e-9421-42ae-86a4-8319616d802c","ELS PER ORGANISATION_Qualit?tsundUmwelt_Datenbanken R"
"11cee9fd-a64e-45a0-8c49-f4e2a1273cbb","ELS PER TECHNIK_TechnBerechnungen_00_ALLGEMEIN R"
"a072f125-e221-4907-b036-f1dcc5508429","ELS OLD Hug_Group"
"959cbaf8-5751-4002-a644-7b021a61f07d","ELS Function Medic"
"cf334004-fc4a-4e30-9592-01318cfb7b00","WW HUG Global AFO-WW"
"e537096c-914b-426a-9893-687aa410a60b","TEST PER TESTDRIVE2_FOLDER R"
"83a60ef0-ae67-42a3-a42e-23f21bafaa1e","ELS PER ORGANISATION_ERP R"
"3323e970-4871-4e60-8f2e-593fe600bbdd","ELS PER ORGANISATION_Administration_Schulungen R"
"c19db4ac-0ea3-44e3-a491-c9ab66964c85","ELS PER TECHNIK_Elektro_Phoenix_Plotter RW"
"464a9f6f-f2f0-4ca5-8c2f-5e46db1d7e3d","ELS Function Welding Specialist"
"4d5f06d1-b6c6-4a0f-af27-8f1147e0cc29","ELS Function General Manager Asia"
"54bdd15f-19ea-41c2-a922-e3b11dfd0ccd","ELS PER VERKAUF_005_KUNDEN DOSSIER R"
"978ef327-e03a-47ca-9ed6-bc76173256a7","MAB Function CAD-DE"
"3e67c5ea-60d4-418d-819b-b7fb328cfc8b","ELS OLD Hug_USA"
"a61f293c-b9ff-478d-b3c3-b7e9e07feb80","MAG OU Admins"
"58a539d4-df98-4c37-bc30-14d7ca01668e","ELS Share VERKAUF"
"6f384485-86fe-40ce-8a47-29424f7c51de","ELS PER TECHNIK_RnD_KPI R"
"c465dbd3-ecf4-43db-a5f5-4ad4605dbc96","ELS PER ORGANISATION_Service_ServiceGlobal RW"
"1b53495a-39a5-4723-805a-68ec2614d850","ELS Function ManagingDirector HECH"
"6922b11c-8c1b-4ecb-a4de-b48b711ad217","ELS Department Konfektion"
"fa6d3644-927f-44e4-a03c-208beccfe718","ELS PER ORGANISATION_Qualit?tsundUmwelt L"
"928d58a3-560a-4a14-a8b0-e32542f0a88d","ELS Function CMO"
