"id","type","name"
"7a7cebc5-6e3d-458a-8031-9f82df1508b5","#microsoft.graph.managedIOSStoreApp","CellTrust SL2™ for Intune"
"779633de-33fc-4327-aaf0-0e67d18df566","#microsoft.graph.managedAndroidStoreApp","Cerby"
"7b9c6cdc-5844-4aec-acb7-f9c0aede7807","#microsoft.graph.managedIOSStoreApp","Cerby"
"a9b97d5c-a3f8-413a-868c-8e98ebff1f92","#microsoft.graph.managedIOSStoreApp","CiiMS GO"
"0e000d4b-5ebe-40c1-afdb-f9a0e388062b","#microsoft.graph.managedAndroidStoreApp","CiiMS GO"
"864d6a0d-a823-4fd2-8f40-17c1bc55a54f","#microsoft.graph.managedIOSStoreApp","Cinebody"
"be3ac9b0-3ac9-4670-97aa-33f2ee7fc682","#microsoft.graph.managedAndroidStoreApp","Cisco Jabber for Intune"
"79875123-c7b4-4732-a244-e91614f9319e","#microsoft.graph.managedIOSStoreApp","Cisco Jabber for Intune"
"0e750a01-d32a-4a21-8739-7e2bc20ad12f","#microsoft.graph.managedAndroidStoreApp","Citrix ShareFile for Intune"
"149c7646-6213-416b-8ec4-8ffb231239fb","#microsoft.graph.managedIOSStoreApp","Citrix ShareFile for Intune"
"6ffd486c-1bfe-4c79-b08e-4c7b56c0cd0e","#microsoft.graph.win32LobApp","ClickShare"
"6b8f19cc-16c3-40ad-9cb2-3ed5cd132ed9","#microsoft.graph.managedIOSStoreApp","Comfy"
"180e4b1f-d0c2-44c5-ae72-a882b056e730","#microsoft.graph.managedAndroidStoreApp","Comfy"
"4bc56e56-cdcf-452c-bf98-b0f13295bbe4","#microsoft.graph.winGetApp","Company Portal"
"d009a835-50f4-4c06-8ec0-c2ec621560b3","#microsoft.graph.managedAndroidStoreApp","Condeco"
"3b7072dd-a122-49ab-b7d4-e9d80dcb12da","#microsoft.graph.managedIOSStoreApp","Condeco"
"d9f1eb77-d85a-46d6-b225-509c6afffd65","#microsoft.graph.managedIOSStoreApp","Confidential File Viewer"
"85da2855-980e-4cdf-99ae-db16e98fefaa","#microsoft.graph.managedAndroidStoreApp","Confidential File Viewer"
"e32ae8f7-14a2-4de6-b7b5-b407313f6e40","#microsoft.graph.win32LobApp","Configure Language de-CH"
"34d29f07-f868-468c-a3fe-0a5c5344f12d","#microsoft.graph.win32LobApp","Configure Language de-DE"
"34fac37f-7e04-4e04-a4ad-1846700d9c8c","#microsoft.graph.win32LobApp","Configure Language en-US"
"411f1c83-0f8b-4fe0-a2d2-9e094fa0ea8d","#microsoft.graph.win32LobApp","Configure Language it-IT"
"e39dbeb2-61a7-41ce-9479-9b2299a72e6f","#microsoft.graph.win32LobApp","Configure Language nl-NL"
"93c446a2-01f6-4b46-a966-89088b33b60a","#microsoft.graph.managedAndroidStoreApp","Cortana"
"e07ac951-b03d-4377-92d3-90a87f0e5b14","#microsoft.graph.managedIOSStoreApp","Cortana"
"8ae13daf-1b9e-4633-ba46-c4e9387ff6cf","#microsoft.graph.managedIOSStoreApp","Dashflow for InTune"
"e995b9fc-123f-45ce-8cb3-5896431a176c","#microsoft.graph.managedIOSStoreApp","DealCloud"
"d3648e3f-343a-48c8-a608-08390e4760da","#microsoft.graph.managedAndroidStoreApp","Dialpad"
"3e630952-19b8-4af2-9f32-7cd4a3484be8","#microsoft.graph.managedIOSStoreApp","Dialpad"
"69359139-c202-43dd-90d2-7260495824e2","#microsoft.graph.managedIOSStoreApp","Diligent Boards"
"8d1f855c-e7e0-4709-b3d3-0099456a62c4","#microsoft.graph.managedIOSStoreApp","Dooray! for Intune"
"31485b7b-9d5c-45ad-80cc-4730f5bb8b33","#microsoft.graph.managedAndroidStoreApp","Dooray! for Intune"
"c85a19ed-74ba-4ddb-807c-cba7af0d297b","#microsoft.graph.win32LobApp","DYMO Label"
"9071c67f-3a7c-4750-92e4-9bc30f05da90","#microsoft.graph.managedAndroidStoreApp","Dynamics 365 Remote Assist"
"ca59178e-093b-4916-baa2-f3609d292b96","#microsoft.graph.managedIOSStoreApp","Dynamics 365 Remote Assist"
"7f986e2a-c34b-44f7-89ea-3e925b088140","#microsoft.graph.managedIOSStoreApp","Dynamics 365 Sales"
"c7c18f3e-995c-4588-bc0a-eceb9bf52b08","#microsoft.graph.managedAndroidStoreApp","Dynamics 365 Sales"
"d7343533-a9b1-4174-bec3-7c77b3c48f65","#microsoft.graph.win32LobApp","Eclipse Temurin JDK with Hotspot 21"
"779b5354-7a90-436f-94fd-ecaa326ab395","#microsoft.graph.managedIOSStoreApp","Egnyte for Intune"
"158c4030-fef6-41a3-9f1a-de3037d7f0ae","#microsoft.graph.managedIOSStoreApp","Enterprise Files for Intune"
"60bcd2d4-a512-42d7-81f9-2234502f08ae","#microsoft.graph.managedAndroidStoreApp","ePRINTit SaaS"
"2827397b-999d-45e9-9250-3326906f5159","#microsoft.graph.managedIOSStoreApp","ePRINTit SaaS"
"de1e91d0-ca6f-4bd6-a9bb-a57a45f65143","#microsoft.graph.managedIOSStoreApp","EVALARM"
"a2c7f55a-08f4-42e3-b08b-d344869ec934","#microsoft.graph.managedIOSStoreApp","F2 Manager - Intune"
"f4b54c1c-ae3f-4682-95f8-46a4f4ede3ae","#microsoft.graph.managedIOSStoreApp","F2 Touch Intune"
"98251695-a526-4fdb-839f-695b2541074d","#microsoft.graph.managedAndroidStoreApp","F2 Touch Intune"
"8429b814-37ce-46f6-8fb3-078154499b99","#microsoft.graph.managedAndroidStoreApp","FactSet"
"24b2b486-ce82-479c-9068-febc354912d1","#microsoft.graph.managedIOSStoreApp","FactSet"
"a7756cb8-ef8c-419c-8e1d-db5370ae10aa","#microsoft.graph.managedIOSStoreApp","Fellow.app"
"70e210b2-6c03-4ec1-b0d2-899d80ee1918","#microsoft.graph.managedAndroidStoreApp","Field Service (Dynamics 365)"
"4cc6d7ae-22b0-4f6d-9523-8d4432a9df20","#microsoft.graph.managedIOSStoreApp","Field Service (Dynamics 365)"
"06d37796-751c-4827-bee8-c61041091147","#microsoft.graph.managedIOSStoreApp","Firstup - Intune"
"50df56dd-e71c-48ee-af03-1061d6cc31aa","#microsoft.graph.managedAndroidStoreApp","FleetSafer"
"e3826d58-18cf-40f6-82c8-f4a96d8923d8","#microsoft.graph.managedIOSStoreApp","FleetSafer"
