"id","categoryPath","displayName"
"5b2c1cab-08f0-40a2-8e25-bce0b6cfa490","\Microsoft Outlook 2016\Security\Cryptography","URL for S/MIME certificates"
"78399680-360f-448b-b816-2160ad7a375c","\Microsoft Edge","Configure the View in File Explorer feature for SharePoint pages in Microsoft Edge"
"4f2c0a1a-26ea-484e-94d4-9165209a57ab","\Microsoft Visio 2016\Visio Options\Security\Trust Center","VBA Macro Notification Settings"
"18a0b84d-8e80-4b25-8253-1702cb8283ef","\Microsoft Outlook 2016\Outlook Options\Mail Format\Internet Formatting\Message Format","Set message format"
"12f293ea-bd6d-409a-bded-ff730664b1ba","\Google\Google Chrome\Extensions","Extension management settings"
"edcd7678-886d-42ce-9455-b0b3a90e65e5","\OneDrive","Continue syncing on metered networks"
"ae534c4f-8b7f-4aa5-9496-26d4bd7fafed","\Microsoft Office 2016\Language Preferences\Editing Languages\Enabled Editing Languages","English (U.K.)"
"78cd9d20-1385-4a8a-8b1d-5fff7b58fcd0","\Microsoft OneNote 2016\OneNote Options\Other","Add OneNote icon to notification area"
"e3163838-fca6-42ba-a760-c2e3e56f804c","\Microsoft Outlook 2016\Outlook Options\Mail\Compose Messages","Set Maximum Certificate Size Limit for Signed Emails in Reply Scenarios."
"1fb0d40b-fad6-45c9-bfff-ece4d7997a5b","\OneDrive","Disable animation that appears during OneDrive Setup"
"9b27e9a7-dcb8-421c-b730-d67947e9a87c","\Google\Google Chrome\Printing","Enable submission of documents to Google Cloud Print"
"9438afbf-293b-424c-9bab-819c106d0c26","\Microsoft Edge","Default sensors setting"
"0546ebc4-4dc2-4aba-bee5-9c4ee57b15db","\Microsoft Office 2016\Miscellaneous","Disable Training of the Adaptive Floatie feature on the computer"
"289f38c6-3059-409e-a13b-08010795aea0","\Google\Google Chrome\Content settings","Allow JavaScript to use JIT on these sites"
"95fe16f0-b78c-45b8-8aa7-0974244e9649","\Microsoft Excel 2016\File tab\Check Accessibility","Stop checking for table alt text accessibility information"
"8c2e7f64-8f09-40d0-a060-7dcf6a2f45cb","\Google\Google Chrome","Allow Google Cast to connect to Cast devices on all IP addresses."
"d41c51a7-f4c8-4160-b48d-6ba8a4376e40","\Microsoft Edge","Configure the list of sites for which Microsoft Edge will attempt to establish a Token Binding with"
"add65575-2699-454a-a03e-ef3358300d24","\Google\Google Chrome - Default Settings (users can override)","Allow download restrictions"
"4bc58978-2c7a-49df-a85c-b85f93fad4b4","\Microsoft Edge","Enable Ambient Authentication for InPrivate and Guest profiles"
"a731edd7-f7c1-4942-bc0f-59e2884e9ea2","\Microsoft Edge","Enable Proactive Authentication (obsolete)"
"6fd59dc3-53ff-4b17-8fed-ed0f25c8897f","\Microsoft Office 2016\Miscellaneous","Show OneDrive Sign In"
"b77a4f96-5dcd-43de-bdd4-4a19762d858b","\Microsoft PowerPoint 2016\PowerPoint Options\Advanced","When selecting, automatically select entire word"
"dc1f0011-e29e-4520-b4c6-3cf083a83ed7","\Microsoft Publisher 2016\Security","Publisher Automation Security Level"
"d46371a0-f73c-4f09-89ca-c42df7139fa4","\OneDrive","Block file downloads when users are low on disk space"
"7f1078f0-8581-4d32-b3f2-2210b2c99420","\Microsoft Office 2016\Miscellaneous","Disable Office animations"
"e4efccf6-1e2f-4fff-992d-2447227cbd33","\Google\Google Chrome\Removed policies","Enable DHE cipher suites in TLS"
"bdbd226a-1f8d-4cb1-bd0b-f186e5812c04","\Microsoft Outlook 2016\Security\Cryptography","Replies or forwards to signed/encrypted messages are signed/encrypted"
"1091c1f6-01f6-409c-8247-4677345cc7a6","\Microsoft Edge\Extensions","Blocklist for extension install types"
"8d4b6dab-84e5-4682-bcec-9b82a1d20242","\Microsoft Outlook 2016\Account Settings\Exchange","Enable RPC encryption"
"bf2be6ff-9820-4815-8e4e-dfffef518a04","\Microsoft Edge\Content settings","Default notification setting"
"ef050c4c-a46a-4989-a0f3-af1327a1b51f","\Microsoft PowerPoint 2016\File Tab\Check Accessibility","Stop checking for section with unique name"
"cce2b16a-fe0a-4a63-9656-68d56b163585","\Microsoft Access 2016\Miscellaneous","Never cache data"
"2ddc85ba-20d3-4f2d-ad46-51ddace952b1","\Google\Google Chrome - Default Settings (users can override)","Set download directory"
"1002f5d4-dfbd-4bc8-b71c-cef7955e8e24","\Google\Google Chrome\Removed policies","Allow insecure algorithms in integrity checks on extension updates and installs"
"96f51922-9612-4634-8f34-ded15638f95e","\Microsoft Office 2016 (Machine)\Updates","Prioritize BITS"
"1ea61f5d-e465-47ff-8eea-c17719f05180","\Microsoft Outlook 2016\Outlook Options\Preferences\E-mail Options\Tracking Options","Turn off Send and Track feature"
"aa49cb97-b780-4eb4-a27b-df8bbbda3822","\Google\Google Chrome","Allow remote debugging"
"124c9a03-7378-44b6-914b-e00f63dd399b","\Microsoft Edge","Enable online OCSP/CRL checks"
"1c4df4ac-fc73-4407-870a-5371eeaf27e5","\Microsoft Edge - Default Settings (users can override)","Allow suggestions from local providers"
"b232f3f9-e148-4bbc-896b-e6ad4fdf26e8","\Microsoft Edge\Content settings","Default images setting"
"c9eb1ba6-ae24-4df5-bd93-8e034702f511","\Skype for Business 2016\Microsoft Lync Feature Policies","Disable HTTP fallback for SIP connection"
"6393cc9e-fd51-4a64-a545-f52f94f977f1","\Microsoft Edge","Enable Follow service in Microsoft Edge"
"9174ddbe-1b89-4672-971f-6104b19e5952","\Microsoft Project 2016\Project Options\Schedule\Scheduling options for 'Project1'","Update manually scheduled tasks when editing links"
"0436abd4-0c8b-44ea-a178-93c7b08d2646","\Google\Google Chrome\Default search provider","Default search provider name"
"e2e0df25-3164-4d31-8586-57209be86ae0","\Google\Google Chrome","Enable showing full-tab promotional content"
"2531a24e-b599-4b4c-85a7-14ea138499c1","\Microsoft Visio 2016\Visio Options\Advanced\Shape Search","Show Shape Search pane"
"375c06c9-898b-4b53-9ab4-3720a938cf13","\Microsoft Edge - Default Settings (users can override)\Printing","Configure the sticky print preview settings"
"a8d64867-8fe9-450e-9248-1a069e31ef1d","\Microsoft Office 2016\Language Preferences\Other","Turn off Coming Soon"
"bd5f2eb8-8cdd-4520-9317-6819892de22e","\Microsoft Outlook 2016\Outlook Options\Preferences\Calendar Options","Include appointments only within working hours"
"f6496615-e7d2-4902-a370-b036907295ce","\Microsoft Edge","Allow remote debugging"
"d8702c0c-f51d-4e00-b84a-2707d097fbed","\Google\Google Chrome\Legacy Browser Support","Alternative browser to launch for configured websites."
"f971a3c0-d6fd-4f67-bd77-e6d8d6de8766","\Microsoft Edge","Enable usage and crash-related data reporting (obsolete)"
"6aaf23eb-7819-404a-9241-78431c9fefd6","\Microsoft Excel 2016\Excel Options\Security\Trust Center\File Block Settings","Excel 97-2003 add-in files"
