"Key","Value"
"aafac8d8-c3ec-4da3-a4e4-fee8db644088","SRMW-iOS-Filter-Managed"
"b1ce3350-fac0-4f57-8eae-663d6389ea82","SRMW-Android-Filter-COFM"
"00fb28d2-e4e7-4c4e-b3b9-12bcdf24b620","SRMW-Android-Filter-CODD"
"305ff298-82fa-401a-8630-83b29a5a037b","SRMW-Android-Filter-Unmanaged"
"d2a6e95b-b371-4fd1-b10d-4efafadc9a0c","SRMW-Android-Filter-Managed"
"8c8b6c4a-f594-4c8c-a63a-e4c8a74497bf","SRMW-Android-Filter-COWP"
"0f5cdd00-0d0b-471b-836a-a1bde1e56884","SRMW-iOS-Filter-Unmanaged"
"d3eb7b1e-5dfe-4772-96da-b563bb63a23e","SRMW-Android-Filter-POWP"
